Regulon	CellType	RelativeActivity
477	FOXP4(+)	CD14_monos_MPNAML_chr21amp	1.43579680298346
482	GLI3(+)	CD14_monos_MPNAML_chr21amp	0.149305279485523
483	GLIS2(+)	CD14_monos_MPNAML_chr21amp	1.41169327190198
487	GTF2B(+)	CD14_monos_MPNAML_chr21amp	0.169636401168988
488	GTF2F1(+)	CD14_monos_MPNAML_chr21amp	0.943281394835407
489	GTF2IRD1(+)	CD14_monos_MPNAML_chr21amp	0.929022653918859
491	HBP1(+)	CD14_monos_MPNAML_chr21amp	0.39028568284633
494	HES4(+)	CD14_monos_MPNAML_chr21amp	2.04300696820645
497	HIC1(+)	CD14_monos_MPNAML_chr21amp	1.99001212553531
498	HIC2(+)	CD14_monos_MPNAML_chr21amp	0.653846876833651
499	HIVEP2(+)	CD14_monos_MPNAML_chr21amp	1.1993423575642
508	HOXA5(+)	CD14_monos_MPNAML_chr21amp	0.521103546071058
514	HOXB9(+)	CD14_monos_MPNAML_chr21amp	0.282118753124315
516	HSPA5(+)	CD14_monos_MPNAML_chr21amp	2.08135145103254
517	IKZF1(+)	CD14_monos_MPNAML_chr21amp	0.475810169250294
519	IRF1(+)	CD14_monos_MPNAML_chr21amp	0.982690145803208
520	IRF2(+)	CD14_monos_MPNAML_chr21amp	0.307328198298558
521	IRF4(+)	CD14_monos_MPNAML_chr21amp	1.21398535269351
522	IRF5(+)	CD14_monos_MPNAML_chr21amp	1.02641979511914
523	IRF7(+)	CD14_monos_MPNAML_chr21amp	1.53540963207752
524	IRF8(+)	CD14_monos_MPNAML_chr21amp	1.6130488853946
526	IRX2(+)	CD14_monos_MPNAML_chr21amp	0.365928312846884
527	IRX5(+)	CD14_monos_MPNAML_chr21amp	0.0657686712921234
528	ISL2(+)	CD14_monos_MPNAML_chr21amp	1.86472292628934
529	JDP2(+)	CD14_monos_MPNAML_chr21amp	1.06187189298935
530	JUN(+)	CD14_monos_MPNAML_chr21amp	0.461845088043364
531	JUNB(+)	CD14_monos_MPNAML_chr21amp	1.80604692301971
532	JUND(+)	CD14_monos_MPNAML_chr21amp	0.21144909837361
535	KLF10(+)	CD14_monos_MPNAML_chr21amp	1.85068963749016
536	KLF11(+)	CD14_monos_MPNAML_chr21amp	1.55081989679573
537	KLF13(+)	CD14_monos_MPNAML_chr21amp	1.49712715231144
538	KLF15(+)	CD14_monos_MPNAML_chr21amp	1.87315092804739
539	KLF16(+)	CD14_monos_MPNAML_chr21amp	1.85157800830317
540	KLF2(+)	CD14_monos_MPNAML_chr21amp	1.19319844928091
541	KLF3(+)	CD14_monos_MPNAML_chr21amp	0.723227595217269
542	KLF4(+)	CD14_monos_MPNAML_chr21amp	1.82784977410976
544	KLF6(+)	CD14_monos_MPNAML_chr21amp	1.22260852490065
545	KLF9(+)	CD14_monos_MPNAML_chr21amp	0.511427842159408
548	LHX6(+)	CD14_monos_MPNAML_chr21amp	1.19973281274925
549	LTF(+)	CD14_monos_MPNAML_chr21amp	0.706228152152969
551	MAFA(+)	CD14_monos_MPNAML_chr21amp	0.951064736576154
552	MAFB(+)	CD14_monos_MPNAML_chr21amp	2.03477552843359
553	MAFF(+)	CD14_monos_MPNAML_chr21amp	1.13105313833855
554	MAFG(+)	CD14_monos_MPNAML_chr21amp	1.63944266605209
555	MAFK(+)	CD14_monos_MPNAML_chr21amp	0.667335858840855
556	MAX(+)	CD14_monos_MPNAML_chr21amp	0.00200432939215779
558	MECP2(+)	CD14_monos_MPNAML_chr21amp	1.8344889056013
559	MEF2A(+)	CD14_monos_MPNAML_chr21amp	1.75680811209542
562	MIXL1(+)	CD14_monos_MPNAML_chr21amp	1.76472639488905
563	MLX(+)	CD14_monos_MPNAML_chr21amp	1.19549840171884
564	MLXIPL(+)	CD14_monos_MPNAML_chr21amp	2.37020267800338
565	MSC(+)	CD14_monos_MPNAML_chr21amp	1.84657867936602
566	MSX1(+)	CD14_monos_MPNAML_chr21amp	2.26418393510812
567	MTA3(+)	CD14_monos_MPNAML_chr21amp	0.177025618144629
568	MTF1(+)	CD14_monos_MPNAML_chr21amp	1.18239009700191
576	NFATC1(+)	CD14_monos_MPNAML_chr21amp	1.33934986675241
581	NFIC(+)	CD14_monos_MPNAML_chr21amp	1.11457754002781
582	NFIL3(+)	CD14_monos_MPNAML_chr21amp	1.7986457822381
583	NFKB1(+)	CD14_monos_MPNAML_chr21amp	1.57006605424249
584	NFKB2(+)	CD14_monos_MPNAML_chr21amp	2.13574345719616
585	NFYA(+)	CD14_monos_MPNAML_chr21amp	1.0992914557343
587	NKX3-1(+)	CD14_monos_MPNAML_chr21amp	0.498205249551474
588	NR1D1(+)	CD14_monos_MPNAML_chr21amp	1.48744453496405
590	NR2F6(+)	CD14_monos_MPNAML_chr21amp	1.47557753575294
592	NRF1(+)	CD14_monos_MPNAML_chr21amp	0.27658473776552
594	OSR2(+)	CD14_monos_MPNAML_chr21amp	1.39330960790603
595	PATZ1(+)	CD14_monos_MPNAML_chr21amp	0.960124618962145
600	PBX4(+)	CD14_monos_MPNAML_chr21amp	1.45020153550927
601	PDLIM5(+)	CD14_monos_MPNAML_chr21amp	0.570471131429583
602	PHF8(+)	CD14_monos_MPNAML_chr21amp	0.192344576522355
603	PKNOX1(+)	CD14_monos_MPNAML_chr21amp	0.558824786632929
604	PML(+)	CD14_monos_MPNAML_chr21amp	1.66918790113578
606	POLE4(+)	CD14_monos_MPNAML_chr21amp	0.68922205826584
612	POU2F1(+)	CD14_monos_MPNAML_chr21amp	2.8044871168113
613	POU2F2(+)	CD14_monos_MPNAML_chr21amp	3.12906816778321
616	POU6F1(+)	CD14_monos_MPNAML_chr21amp	0.678148062795384
617	PPARA(+)	CD14_monos_MPNAML_chr21amp	2.31016876684111
618	PPARD(+)	CD14_monos_MPNAML_chr21amp	1.86978264081394
619	PPARG(+)	CD14_monos_MPNAML_chr21amp	1.70270263159948
620	PPARGC1A(+)	CD14_monos_MPNAML_chr21amp	1.91943795726911
621	PRDM1(+)	CD14_monos_MPNAML_chr21amp	1.66840734668774
622	PRDM16(+)	CD14_monos_MPNAML_chr21amp	1.18459800573089
628	RARA(+)	CD14_monos_MPNAML_chr21amp	1.82905442471128
630	RARG(+)	CD14_monos_MPNAML_chr21amp	1.60532744893941
631	RBBP5(+)	CD14_monos_MPNAML_chr21amp	0.152218793513483
632	RCOR1(+)	CD14_monos_MPNAML_chr21amp	1.87638698413102
633	REL(+)	CD14_monos_MPNAML_chr21amp	2.07943797453232
634	RELA(+)	CD14_monos_MPNAML_chr21amp	1.31017093852557
635	RELB(+)	CD14_monos_MPNAML_chr21amp	1.68521856089992
637	RFX1(+)	CD14_monos_MPNAML_chr21amp	0.458469406460745
638	RFX2(+)	CD14_monos_MPNAML_chr21amp	1.52122966140567
639	RFX3(+)	CD14_monos_MPNAML_chr21amp	0.310303261836749
640	RFX5(+)	CD14_monos_MPNAML_chr21amp	0.221704101954839
643	RREB1(+)	CD14_monos_MPNAML_chr21amp	1.14590306796944
645	RUNX3(+)	CD14_monos_MPNAML_chr21amp	1.40767381390513
646	RXRA(+)	CD14_monos_MPNAML_chr21amp	2.0097374083038
648	SCRT2(+)	CD14_monos_MPNAML_chr21amp	0.295341733471403
650	SIN3A(+)	CD14_monos_MPNAML_chr21amp	0.0108552261990711
651	SIRT6(+)	CD14_monos_MPNAML_chr21amp	1.21212310998968
654	SMAD1(+)	CD14_monos_MPNAML_chr21amp	0.0139321148487516
655	SMAD7(+)	CD14_monos_MPNAML_chr21amp	0.809250394588078
659	SOX15(+)	CD14_monos_MPNAML_chr21amp	2.24678506715079
665	SOX8(+)	CD14_monos_MPNAML_chr21amp	1.78042830303389
666	SP3(+)	CD14_monos_MPNAML_chr21amp	1.21668513200653
667	SP4(+)	CD14_monos_MPNAML_chr21amp	0.444921625564488
